,osmid,y,x,highway,street_count,row,column,land_price,pop,private_cs,I1_max,upper_bound
537,5710297033,21.0085522,105.8239207,,3,None,None,82.267333,91.075,0.0,45,0.005469971902456107
538,1884768305,21.0094475,105.8239568,,3,None,None,82.267333,39.175,0.0,48,0.00583463669595318
539,1884769979,21.0095664,105.8239771,,3,None,None,82.267333,39.175,0.0,48,0.00583463669595318
540,1314209717,21.0089148,105.824108,,3,None,None,82.267333,91.075,0.0,47,0.005713081764787489
541,1314209699,21.0092517,105.8242748,,4,None,None,154.525833,25.454,0.0,44,0.0028474203403905936
542,1758631175,21.0093907,105.8243473,,4,None,None,154.525833,25.454,0.0,46,0.002976848537681075
543,1884765806,21.0091334,105.8244253,,4,None,None,154.525833,4.46,0.0,46,0.002976848537681075
544,1884769977,21.0097478,105.8245423,,3,None,None,82.267333,25.454,0.0,48,0.00583463669595318
545,1884765798,21.008971,105.8247865,,3,None,None,82.267333,4.46,0.0,44,0.005348416971290415
546,1758633112,21.0102866,105.8249263,,3,None,None,82.267333,158.566,0.0,50,0.006077746558284563
547,1314209721,21.0106684,105.8250728,,3,None,None,82.267333,109.946,0.0,55,0.00668552121411302
548,6659134171,21.0104696,105.8249685,,3,None,None,82.267333,158.566,0.0,55,0.00668552121411302
549,6659134174,21.0080557,105.8236974,,3,None,None,82.267333,61.008,0.0,44,0.005348416971290415
550,6688503847,21.0096285,105.8244721,,3,None,None,82.267333,25.454,0.0,49,0.005956191627118871
551,318259528,21.0135345,105.8225238,,4,None,None,154.525833,199.585,0.0,59,0.0038181318200692046
552,446030797,21.0137777,105.8188893,,4,None,None,154.525833,70.285,0.0,36,0.002329707551228667
553,2174649960,21.0152392,105.8202578,,4,None,None,154.525833,124.385,0.0,50,0.003235704932262038
554,1497527957,21.015375,105.8200999,,4,None,None,154.525833,124.385,0.0,50,0.003235704932262038
555,5828713073,21.0140586,105.8188692,,3,None,None,82.267333,70.285,0.0,39,0.004740642315461959
556,5828713074,21.0148042,105.8178555,,3,None,None,82.267333,206.05,0.0,41,0.004983752177793341
